"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"TAF7",0.411695906432749,0.632905647202584,0.0619762736001998,0.203136806742919,1.02583572211915,441,"AR",67,87
"TCF3",0.233720930232558,0.409845384265575,0.0911073131586733,0.214302509140314,1.08778190609176,470,"AR",61,87
"TCF3",0.0778642936596218,0.211053217024764,0.166933848713193,0.225090647277372,1.16418058016346,624,"AR",45,87
"TCF7L2",0.00262063102838046,0.0179949997282125,0.431707695803346,0.279127683079937,1.39336290680732,386,"AR",14,87
"TP53",0.557241379310345,0.756094182825485,0.0554793308704233,0.21269511734569,0.95315330757046,140,"AR",78,87
"TP63",0.100794842492913,0.230708195039335,0.287805130535564,-0.191655895659869,-1.11429979823964,521,"AR",56,87
"TRIM28",1,1,0.0302754424728262,0.112915881997913,0.466035496835385,85,"AR",103,87
"TRIM28",0.550641940085592,0.756094182825485,0.057609110864425,0.223277375330776,0.954926835063743,107,"AR",76,87
"UBTF",0.0612668743509865,0.175291334948656,0.183023938384487,0.213645547191895,1.14178400094619,1222,"AR",49,87
"USF1",0.777306468716861,0.925112270906663,0.0275885895800029,0.174392952367454,0.925237619855823,993,"AR",81,87
"USF2",0.788853161843516,0.925112270906663,0.0273777349570556,0.173927111789188,0.910900932566254,765,"AR",83,87
"VDR",0.0490506329113924,0.148594564408042,0.257206466468838,0.400250848306639,1.4356377838649,43,"AR",10,87
"YY1",1.87955847968374e-05,0.00064531507802475,0.575610261071129,0.243402668131709,1.31054992900224,2111,"AR",19,87
"YY1",0.00220140374590626,0.0163265225564439,0.431707695803346,0.304098594686314,1.462133475248,262,"AR",8,87
"ZBTB33",0.549041713641488,0.756094182825485,0.0468819856878333,0.191111579032161,0.976281110263027,518,"AR",72,87
"ZBTB7A",0.0317297850562948,0.112695443475806,0.257206466468838,0.215966402610506,1.15918861384227,1414,"AR",47,87
"ZC3H11A",0.232352941176471,0.409845384265575,0.105520936843198,0.28291271046684,1.13922906869815,77,"AR",51,87
